 course_code | career |                                           c                                           |                                         left                                          
 ARTS1900    | UG     |                                                                                       | 
 ARTS2005    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2006    | UG     | Prerequisite: Completion of one of the following courses, MUSC1704, MUSC1705, MUSC170 | (MUSC1704 || MUSC1705 || MUSC1706 || ARTS1005 || 3425 || 3426 || 3427 || 3448 || 3449
 ARTS2007    | UG     | Prerequisite: 30 uoc at Level 1 including ARTS1005                                    | (30_UOC at Level 1 && ARTS1005)
 ARTS2008    | UG     | Prerequisite: ARTS1005 and ARTS1006                                                   | (ARTS1005 && ARTS1006)
 ARTS2009    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2031    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2032    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2033    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2034    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2035    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2036    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2037    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2038    | UG     | Prerequisite: 30 units of credit overall, including 12 units of credit in Level 1 Eng | (30_UOC && 12_UOC_LEVEL_1_ENGLISH)
 ARTS2039    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2050    | UG     | Prerequisite: 12uoc at Level 1, and enrolment in an Arts and Social Sciences or Art a | (12_UOC_LEVEL_1 && (enrolment in an Arts and Social Sciences || Art and Design progra
 ARTS2061    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2062    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2063    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2064    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2065    | UG     | Prerequisite:30 uoc at Level 1 including ARTS1060 or ARTS1062                         | (30_UOC_LEVEL_1 && (ARTS1060 || ARTS1062))
 ARTS2066    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2091    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2092    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2093    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2094    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2095    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2120    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2121    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2122    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2123    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2125    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2126    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2127    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2128    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2150    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2210    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2211    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2212    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2213    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2216    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2240    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2242    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2243    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2244    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2247    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2248    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2270    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2271    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2272    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2273    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2281    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2282    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2283    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2285    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2301    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
 ARTS2303    | UG     | Prerequisite: 30 units of credit at Level 1                                           | (30_UOC_LEVEL_1)
